red,green,blue,name
0.97817564,0.96734899,0.95652175,seismic_rms
1,1,1,seismic_rms
0.97517556,0.9751364,0.97630012,seismic_rms
0.95035112,0.95027286,0.95260018,seismic_rms
0.92552674,0.92540932,0.9289003,seismic_rms
0.90070224,0.90054566,0.90520036,seismic_rms
0.8758778,0.87568212,0.88150042,seismic_rms
0.85105336,0.85081851,0.85780048,seismic_rms
0.82622898,0.82595491,0.8341006,seismic_rms
0.80140448,0.80109131,0.81040061,seismic_rms
0.77658004,0.77622777,0.78670073,seismic_rms
0.7517556,0.75136417,0.76300085,seismic_rms
0.72693121,0.72650063,0.73930097,seismic_rms
0.70210671,0.70163703,0.71560103,seismic_rms
0.67728233,0.67677343,0.69190109,seismic_rms
0.65245789,0.65190989,0.66820121,seismic_rms
0.62763339,0.62704623,0.64450121,seismic_rms
0.60280895,0.60218269,0.62080133,seismic_rms
0.57798457,0.57731915,0.59710145,seismic_rms
0.55316013,0.55245554,0.57340157,seismic_rms
0.52833569,0.52759194,0.54970163,seismic_rms
0.50351131,0.5027284,0.52600175,seismic_rms
0.47868678,0.47786477,0.50230181,seismic_rms
0.45386237,0.4530012,0.47860187,seismic_rms
0.42903793,0.42813763,0.45490196,seismic_rms
0.42040458,0.41902831,0.46007511,seismic_rms
0.41177121,0.40991902,0.46524823,seismic_rms
0.40313786,0.40080971,0.47042137,seismic_rms
0.39450449,0.39170039,0.47559449,seismic_rms
0.38587114,0.38259107,0.48076764,seismic_rms
0.37723777,0.37348178,0.48594075,seismic_rms
0.36860442,0.36437246,0.4911139,seismic_rms
0.35997105,0.35526314,0.49628705,seismic_rms
0.3513377,0.34615383,0.50146013,seismic_rms
0.34270433,0.33704454,0.50663328,seismic_rms
0.33407098,0.32793522,0.51180643,seismic_rms
0.32543761,0.3188259,0.51697958,seismic_rms
0.31680426,0.30971661,0.52215272,seismic_rms
0.30817088,0.30060729,0.52732587,seismic_rms
0.29953754,0.29149798,0.53249902,seismic_rms
0.29090416,0.28238866,0.53767216,seismic_rms
0.28227082,0.27327937,0.54284525,seismic_rms
0.27363744,0.26417002,0.54801834,seismic_rms
0.26500407,0.2550607,0.55319154,seismic_rms
0.25637072,0.2459514,0.55836463,seismic_rms
0.24773736,0.2368421,0.56353778,seismic_rms
0.239104,0.22773278,0.56871092,seismic_rms
0.23047064,0.21862347,0.57388401,seismic_rms
0.2218373,0.20951416,0.57905716,seismic_rms
0.21320394,0.20040485,0.5842303,seismic_rms
0.20457058,0.19129553,0.58940339,seismic_rms
0.19593722,0.18218623,0.59457654,seismic_rms
0.18730386,0.17307691,0.59974968,seismic_rms
0.1786705,0.16396761,0.60492283,seismic_rms
0.17003714,0.15485831,0.61009598,seismic_rms
0.16140378,0.14574899,0.61526918,seismic_rms
0.15277041,0.13663968,0.62044227,seismic_rms
0.14413705,0.12753037,0.62561542,seismic_rms
0.13550369,0.11842106,0.63078856,seismic_rms
0.12687033,0.10931174,0.63596165,seismic_rms
0.11823696,0.10020241,0.6411348,seismic_rms
0.1096036,0.091093101,0.64630789,seismic_rms
0.10097024,0.08198379,0.65148103,seismic_rms
0.092336878,0.072874479,0.65665418,seismic_rms
0.083703518,0.063765168,0.66182733,seismic_rms
0.075070165,0.054655861,0.66700041,seismic_rms
0.066436805,0.04554655,0.67217362,seismic_rms
0.057803445,0.036437239,0.67734671,seismic_rms
0.049170084,0.027327931,0.68251985,seismic_rms
0.040536724,0.01821862,0.68769294,seismic_rms
0.031903367,0.0091093099,0.69286615,seismic_rms
0.023270009,0,0.69803923,seismic_rms
0.022868803,0.016091935,0.70324546,seismic_rms
0.022467595,0.032183927,0.70845169,seismic_rms
0.022066388,0.048275862,0.71365792,seismic_rms
0.021665182,0.064367794,0.71886408,seismic_rms
0.021263974,0.080459788,0.72407031,seismic_rms
0.020862767,0.096551724,0.72927654,seismic_rms
0.020461561,0.11264366,0.73448277,seismic_rms
0.020060353,0.12873565,0.73968899,seismic_rms
0.019659147,0.14482757,0.74489522,seismic_rms
0.019257938,0.16091952,0.75010139,seismic_rms
0.01885673,0.1770115,0.75530767,seismic_rms
0.018455524,0.19310345,0.7605139,seismic_rms
0.018054318,0.20919538,0.76572007,seismic_rms
0.01765311,0.22528736,0.7709263,seismic_rms
0.017251903,0.24137931,0.77613252,seismic_rms
0.016850695,0.25747129,0.78133875,seismic_rms
0.016449489,0.27356324,0.78654498,seismic_rms
0.016048282,0.28965515,0.79175121,seismic_rms
0.015647076,0.30574715,0.79695749,seismic_rms
0.015245868,0.32183909,0.8021636,seismic_rms
0.014844662,0.33793104,0.80736983,seismic_rms
0.014443453,0.35402301,0.81257606,seismic_rms
0.014042247,0.37011495,0.81778228,seismic_rms
0.01364104,0.3862069,0.82298851,seismic_rms
0.013239834,0.40229887,0.8281948,seismic_rms
0.012838625,0.41839081,0.83340096,seismic_rms
0.012437418,0.43448275,0.83860713,seismic_rms
0.012036211,0.45057473,0.84381342,seismic_rms
0.011635005,0.46666667,0.84901965,seismic_rms
0.011233798,0.48275861,0.85422587,seismic_rms
0.01083259,0.49885052,0.85943198,seismic_rms
0.010431384,0.51494253,0.86463827,seismic_rms
0.010030176,0.53103453,0.86984456,seismic_rms
0.0096289692,0.54712647,0.87505072,seismic_rms
0.009227762,0.56321841,0.88025695,seismic_rms
0.0088265557,0.5793103,0.88546312,seismic_rms
