red,green,blue,name
0.7262032,0.59037846,0.45454544,seismic_rms_filtered
0.74141419,0.61313522,0.4848485,seismic_rms_filtered
0.75662506,0.63589197,0.5151515,seismic_rms_filtered
0.77183592,0.65864873,0.5454545,seismic_rms_filtered
0.78704691,0.68140548,0.57575756,seismic_rms_filtered
0.8022579,0.70416224,0.60606062,seismic_rms_filtered
0.81746882,0.726919,0.63636363,seismic_rms_filtered
0.83267969,0.74967569,0.66666663,seismic_rms_filtered
0.84789068,0.77243251,0.69696969,seismic_rms_filtered
0.8631016,0.79518926,0.72727275,seismic_rms_filtered
0.87831253,0.81794602,0.75757575,seismic_rms_filtered
0.89352345,0.84070271,0.78787875,seismic_rms_filtered
0.90873438,0.86345947,0.81818181,seismic_rms_filtered
0.92394537,0.88621628,0.84848487,seismic_rms_filtered
0.93915629,0.90897298,0.87878788,seismic_rms_filtered
0.95436716,0.93172973,0.90909088,seismic_rms_filtered
0.96957815,0.95448649,0.93939394,seismic_rms_filtered
0.98478907,0.97724324,0.969697,seismic_rms_filtered
1,1,1,seismic_rms_filtered
0.98269814,0.98267084,0.98348188,seismic_rms_filtered
0.96539623,0.96534169,0.96696377,seismic_rms_filtered
0.94809431,0.94801247,0.95044559,seismic_rms_filtered
0.93079245,0.93068337,0.93392754,seismic_rms_filtered
0.91349059,0.91335422,0.91740942,seismic_rms_filtered
0.89618874,0.896025,0.90089124,seismic_rms_filtered
0.87888682,0.87869585,0.88437307,seismic_rms_filtered
0.86158496,0.86136669,0.86785501,seismic_rms_filtered
0.8442831,0.84403753,0.8513369,seismic_rms_filtered
0.82698119,0.82670838,0.83481878,seismic_rms_filtered
0.80967927,0.80937916,0.8183006,seismic_rms_filtered
0.79237741,0.79205,0.80178255,seismic_rms_filtered
0.77507555,0.77472091,0.78526443,seismic_rms_filtered
0.75777364,0.75739169,0.76874626,seismic_rms_filtered
0.74047172,0.74006248,0.75222814,seismic_rms_filtered
0.72316992,0.72273338,0.73571002,seismic_rms_filtered
0.70586801,0.70540422,0.71919191,seismic_rms_filtered
0.68856609,0.68807507,0.70267379,seismic_rms_filtered
0.67126429,0.67074591,0.68615568,seismic_rms_filtered
0.65396237,0.65341675,0.66963756,seismic_rms_filtered
0.63666052,0.6360876,0.65311944,seismic_rms_filtered
0.61935854,0.61875838,0.63660127,seismic_rms_filtered
0.60205674,0.60142922,0.62008321,seismic_rms_filtered
0.58475482,0.58410007,0.6035651,seismic_rms_filtered
0.56745297,0.56677091,0.58704698,seismic_rms_filtered
0.55015105,0.5494417,0.57052875,seismic_rms_filtered
0.53284919,0.5321126,0.55401069,seismic_rms_filtered
0.51554728,0.51478344,0.53749257,seismic_rms_filtered
0.49824545,0.49745429,0.52097446,seismic_rms_filtered
0.48094353,0.48012507,0.50445628,seismic_rms_filtered
0.4636417,0.46279594,0.4879382,seismic_rms_filtered
0.44633979,0.44546679,0.47142008,seismic_rms_filtered
0.42903793,0.42813763,0.45490196,seismic_rms_filtered
0.41807124,0.41656634,0.46147323,seismic_rms_filtered
0.40710452,0.40499505,0.46804452,seismic_rms_filtered
0.39613783,0.39342377,0.47461581,seismic_rms_filtered
0.38517112,0.38185248,0.48118705,seismic_rms_filtered
0.37420443,0.37028119,0.48775834,seismic_rms_filtered
0.36323771,0.3587099,0.49432963,seismic_rms_filtered
0.35227102,0.34713861,0.50090086,seismic_rms_filtered
0.34130433,0.33556733,0.50747216,seismic_rms_filtered
0.33033761,0.32399607,0.51404345,seismic_rms_filtered
0.31937093,0.31242478,0.52061474,seismic_rms_filtered
0.30840421,0.30085346,0.52718604,seismic_rms_filtered
0.29743752,0.2892822,0.53375727,seismic_rms_filtered
0.2864708,0.27771088,0.54032862,seismic_rms_filtered
0.27550411,0.2661396,0.54689986,seismic_rms_filtered
0.26453742,0.25456831,0.55347109,seismic_rms_filtered
0.25357074,0.24299704,0.56004238,seismic_rms_filtered
0.24260403,0.23142576,0.56661367,seismic_rms_filtered
0.23163731,0.21985446,0.57318497,seismic_rms_filtered
0.22067063,0.20828317,0.57975626,seismic_rms_filtered
0.20970392,0.1967119,0.58632755,seismic_rms_filtered
0.1987372,0.18514059,0.59289879,seismic_rms_filtered
0.18777052,0.17356931,0.59947008,seismic_rms_filtered
0.17680381,0.16199803,0.60604131,seismic_rms_filtered
0.16583712,0.15042675,0.61261261,seismic_rms_filtered
0.15487041,0.13885544,0.6191839,seismic_rms_filtered
0.14390372,0.12728415,0.62575519,seismic_rms_filtered
0.13293701,0.11571288,0.63232648,seismic_rms_filtered
0.1219703,0.10414158,0.63889778,seismic_rms_filtered
0.11100361,0.092570297,0.64546901,seismic_rms_filtered
0.10003691,0.080999017,0.6520403,seismic_rms_filtered
0.089070223,0.069427736,0.6586116,seismic_rms_filtered
0.078103505,0.057856429,0.66518289,seismic_rms_filtered
0.067136809,0.046285149,0.67175412,seismic_rms_filtered
0.056170117,0.034713868,0.67832541,seismic_rms_filtered
0.045203421,0.023142586,0.68489665,seismic_rms_filtered
0.034236703,0.011571281,0.69146794,seismic_rms_filtered
0.023270009,0,0.69803923,seismic_rms_filtered
0.022868803,0.016091935,0.70324546,seismic_rms_filtered
0.022467595,0.032183927,0.70845169,seismic_rms_filtered
0.022066388,0.048275862,0.71365792,seismic_rms_filtered
0.021665182,0.064367794,0.71886408,seismic_rms_filtered
0.021263974,0.080459788,0.72407031,seismic_rms_filtered
0.020862767,0.096551724,0.72927654,seismic_rms_filtered
0.020461561,0.11264366,0.73448277,seismic_rms_filtered
0.020060353,0.12873565,0.73968899,seismic_rms_filtered
0.019659147,0.14482757,0.74489522,seismic_rms_filtered
0.019257938,0.16091952,0.75010139,seismic_rms_filtered
0.01885673,0.1770115,0.75530767,seismic_rms_filtered
0.018455524,0.19310345,0.7605139,seismic_rms_filtered
0.018054318,0.20919538,0.76572007,seismic_rms_filtered
0.01765311,0.22528736,0.7709263,seismic_rms_filtered
0.017251903,0.24137931,0.77613252,seismic_rms_filtered
0.016850695,0.25747129,0.78133875,seismic_rms_filtered
0.016449489,0.27356324,0.78654498,seismic_rms_filtered
0.016048282,0.28965515,0.79175121,seismic_rms_filtered
0.015647076,0.30574715,0.79695749,seismic_rms_filtered
0.015245868,0.32183909,0.8021636,seismic_rms_filtered
0.014844662,0.33793104,0.80736983,seismic_rms_filtered
0.014443453,0.35402301,0.81257606,seismic_rms_filtered
0.014042247,0.37011495,0.81778228,seismic_rms_filtered
0.01364104,0.3862069,0.82298851,seismic_rms_filtered
0.013239834,0.40229887,0.8281948,seismic_rms_filtered
0.012838625,0.41839081,0.83340096,seismic_rms_filtered
0.012437418,0.43448275,0.83860713,seismic_rms_filtered
0.012036211,0.45057473,0.84381342,seismic_rms_filtered
0.011635005,0.46666667,0.84901965,seismic_rms_filtered
