,iteration,realization,is_observation,is_prediction,name,tagname,attribute,calculation,offset,domain,time0,time1,relative_path
81,iter-0,realization-43,False,True,seismic,amplitude_depth,amplitude,,,depth,2018-01-01,2020-07-01,realization-43/iter-0/share/results/seismic/seismic--amplitude_depth--20200701_20180101.segy
82,iter-0,realization-43,False,True,seismic,amplitude_far_depth,amplitude,,far,time,2018-01-01,,realization-43/iter-0/share/results/seismic/seismic--amplitude_far_depth--20180101.segy
83,iter-0,realization-47,False,True,seismic,amplitude_depth,amplitude,,,depth,2018-01-01,2019-07-01,realization-47/iter-0/share/results/seismic/seismic--amplitude_depth--20190701_20180101.segy
84,iter-0,realization-43,False,True,seismic,amplitude_near_depth,amplitude,,near,time,2018-01-01,,realization-43/iter-0/share/results/seismic/seismic--amplitude_near_depth--20180101.segy
85,iter-0,realization-43,False,True,seismic,amplitude_near_2x_depth,amplitude2,,near,time,2018-01-01,,realization-43/iter-0/share/results/seismic/seismic--amplitude_near_2x_depth--20180101.segy
86,iter-0,realization-55,False,True,seismic,amplitude_far_2x_depth,amplitude2,,far,time,2018-01-01,,realization-55/iter-0/share/results/seismic/seismic--amplitude_far_2x_depth--20180101.segy
87,iter-0,realization-63,False,True,seismic,amplitude_near_depth,amplitude,,near,time,2018-01-01,,realization-63/iter-0/share/results/seismic/seismic--amplitude_near_depth--20180101.segy
88,iter-0,realization-63,False,True,seismic,amplitude_near_2x_depth,amplitude2,,near,time,2018-01-01,,realization-63/iter-0/share/results/seismic/seismic--amplitude_near_2x_depth--20180101.segy
89,iter-0,realization-46,False,True,seismic,amplitude_far_time,amplitude,mean,far,time,2018-01-01,,realization-46/iter-0/share/results/seismic/seismic--amplitude_far_time--20180101.segy
90,iter-0,realization-46,False,True,seismic,amplitude_near_2x_depth,amplitude2,,near,time,2018-01-01,,realization-46/iter-0/share/results/seismic/seismic--amplitude_near_2x_depth--20180101.segy
91,iter-0,realization-52,False,True,seismic,amplitude_depth,amplitude,,,depth,2018-01-01,2018-07-01,realization-52/iter-0/share/results/seismic/seismic--amplitude_depth--20180701_20180101.segy
92,iter-0,realization-52,False,True,seismic,amplitude_depth,amplitude,,,depth,2018-01-01,2019-07-01,realization-52/iter-0/share/results/seismic/seismic--amplitude_depth--20190701_20180101.segy
93,iter-0,realization-61,False,True,seismic,amplitude_far_depth,amplitude,,far,time,2018-01-01,,realization-61/iter-0/share/results/seismic/seismic--amplitude_far_depth--20180101.segy
94,iter-0,realization-1,False,True,seismic,amplitude_depth,amplitude,,,depth,2018-01-01,2018-07-01,realization-1/iter-0/share/results/seismic/seismic--amplitude_depth--20180701_20180101.segy
95,iter-0,realization-1,False,True,seismic,amplitude_far_2x_time,amplitude2,mean,far,time,2018-01-01,,realization-1/iter-0/share/results/seismic/seismic--amplitude_far_2x_time--20180101.segy
96,iter-0,realization-1,False,True,seismic,amplitude_near_2x_depth,amplitude2,,near,time,2018-01-01,,realization-1/iter-0/share/results/seismic/seismic--amplitude_near_2x_depth--20180101.segy
97,iter-0,realization-5,False,True,seismic,amplitude_near_2x_time,amplitude2,mean,near,time,2018-01-01,,realization-5/iter-0/share/results/seismic/seismic--amplitude_near_2x_time--20180101.segy
98,iter-0,realization-5,False,True,seismic,amplitude_depth,amplitude,,,depth,2018-01-01,2020-07-01,realization-5/iter-0/share/results/seismic/seismic--amplitude_depth--20200701_20180101.segy
99,iter-0,realization-5,False,True,seismic,amplitude_far_2x_time,amplitude2,mean,far,time,2018-01-01,,realization-5/iter-0/share/results/seismic/seismic--amplitude_far_2x_time--20180101.segy
