,id,kind,Name,Source,MetadataVersion,AttributeMap.FieldName,AttributeMap.AttributeType,AttributeMap.Coverage,AttributeMap.DifferenceType,AttributeMap.MapType,AttributeMap.Name,AttributeMap.SeismicDifference,AttributeMap.SeismicTraceContent,CalculationWindow.WindowMode,CalculationWindow.TopHorizonName,CalculationWindow.BaseHorizonName,CalculationWindow.TopHorizonOffset,CalculationWindow.BaseHorizonOffset,CalculationWindow.HorizonName,CalculationWindow.HorizonOffsetShallow,CalculationWindow.HorizonOffsetDeep,SeismicProcessingTraces.SeismicVolumeA,SeismicProcessingTraces.SeismicVolumeB,IrapBinaryID
10,npequinor-dev:work-product-component--GenericRepresentation:b7821c703ee349d193ce2c71f964b73b,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23au-20au_RI_0535P_rms,Auto4D,0.3.2,JOHAN SVERDRUP,RMS,Padded,AttributeOfDifference,4D,4D_JS_FulRes_23au-20au_RI_0535P_rms,TimeshiftedDifference,RelativeAcousticImpedance,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ23205DZC23B-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:f8f0e7e1-5858-40b2-8885-af717fab96a1
11,npequinor-dev:work-product-component--GenericRepresentation:e1c898bd48d14971ba6524e19e913e6b,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23au-20au_RI_0535M_maxn,Auto4D,0.3.2,JOHAN SVERDRUP,MaxNegative,Masked,AttributeOfDifference,4D,4D_JS_FulRes_23au-20au_RI_0535M_maxn,TimeshiftedDifference,RelativeAcousticImpedance,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ23205DZC23B-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:31dc4d40-aeb0-4aec-8a1f-c0949f71e736
12,npequinor-dev:work-product-component--GenericRepresentation:cf1da302c8d34209a12b6827fb333bd2,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_22sp-20aut_dTS_0535_maxp,Auto4D,0.3.2,JOHAN SVERDRUP,MaxPositive,Full,AttributeOfDifference,4D,4D_JS_FulRes_22sp-20aut_dTS_0535_maxp,Extracted,Timestrain,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ22200DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:08c2b9d3-e8f6-41e0-b4b1-ceb6b29857b0
13,npequinor-dev:work-product-component--GenericRepresentation:4babfc14134641deac47f9c1cbba9d52,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23sp-21sp_DiffTS_0535_maxp,Auto4D,0.3.2,JOHAN SVERDRUP,MaxPositive,Full,AttributeOfDifference,4D,4D_JS_FulRes_23sp-21sp_DiffTS_0535_maxp,TimeshiftedDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ23200DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ21200DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:1a36a71e-027d-4cf5-b081-f02fc0bbaa23
14,npequinor-dev:work-product-component--GenericRepresentation:f69d0a42bd764e80ba914825fcc85a7a,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23sp-20aut_Diff_0535_maxp,Auto4D,0.3.2,JOHAN SVERDRUP,MaxPositive,Full,AttributeOfDifference,4D,4D_JS_FulRes_23sp-20aut_Diff_0535_maxp,RawDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ23200DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:d61cc92f-ea89-4a08-b9b7-63934d161b37
15,npequinor-dev:work-product-component--GenericRepresentation:a71b33770fb648c7b8afc155e019e4e4,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_20au-19auM_Quadr_0535_maxn,Auto4D,0.3.2,JOHAN SVERDRUP,MaxNegative,Masked,AttributeOfDifference,4D,4D_JS_FulRes_20au-19auM_Quadr_0535_maxn,TimeshiftedDifference,Quadrature,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ19231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:b77ed68b-86f5-48d5-8eec-5bc0f2f642af
16,npequinor-dev:work-product-component--GenericRepresentation:c949a1a2dc2645d3927f613e27a67e1e,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_21sp-19auM_dTS_0535_maxp,Auto4D,0.3.2,JOHAN SVERDRUP,MaxNegative,Masked,AttributeOfDifference,4D,4D_JS_FulRes_20au-19auM_Quadr_0535_maxn,TimeshiftedDifference,Quadrature,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ19231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:403e42ff-5d7b-4069-bba6-420e8a781834
17,npequinor-dev:work-product-component--GenericRepresentation:412118c7e1b349f9881f476c89eb7ae9,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_22sp-20au_TS_0535_IUTU-10ms,Auto4D,0.3.2,JOHAN SVERDRUP,RMS,Full,AttributeOfDifference,4D,4D_JS_FulRes_23sp-21sp_Diff_0535_rms,RawDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ23200DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ21200DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:3e62ce55-9105-4842-83d4-fb0c2567ed50
18,npequinor-dev:work-product-component--GenericRepresentation:1faa3f383bcb4b3285bf46b0ba6c79e3,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23sp-21sp_Diff_0535_rms,Auto4D,0.3.2,JOHAN SVERDRUP,RMS,Full,AttributeOfDifference,4D,4D_JS_FulRes_23sp-21sp_Diff_0535_rms,RawDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ23200DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ21200DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:6e82244f-02fb-47ac-afef-b82e3550f0bb
19,npequinor-dev:work-product-component--GenericRepresentation:ba91bbd54e9545848ed58a1c592e0e65,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23au-20au_DiffTS_0535P_maxn,Auto4D,0.3.2,JOHAN SVERDRUP,MaxNegative,Padded,AttributeOfDifference,4D,4D_JS_FulRes_23au-20au_DiffTS_0535P_maxn,TimeshiftedDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ23205DZC23B-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:b84788b3-610a-4981-80f8-169271b9f5d0
