,name,attribute,time.t1,time.t2,seismic,coverage,dataset_id,map_type
27,3D_TAasgard_JS_Z22_Merge_EQ20231_PH2DG3,MaxNegative,2022-05-15,2023-05-16,Amplitude,Full,npequinor-dev:dataset--File.Generic:52174950-cf68-40c1-8933-c6e01731f1c0,observed
28,3D_TAasgard_JS_Z22_Merge_EQ20231_PH2DG3,MaxNegative,2021-05-17,2023-05-16,Amplitude,Full,npequinor-dev:dataset--File.Generic:4a16d1a6-e109-4fe6-a11d-d36a47744460,observed
29,3D_IUTU_JS_Z22_Merge_EQ20231_PH2DG3,value,2020-09-30,2023-05-16,Timeshift,Full,npequinor-dev:dataset--File.Generic:38822754-78ae-4e1f-a401-f80112935974,observed
30,3D_TAasgard_JS_Z22_Merge_EQ20231_PH2DG3,RMS,2020-09-30,2023-09-20,Amplitude,Masked,npequinor-dev:dataset--File.Generic:a5d35bdd-84f4-462c-bcaa-c5d3d35612d4,observed
31,3D_TAasgard_JS_Z22_Merge_EQ20231_PH2DG3,MaxPositive,2021-05-17,2023-05-16,Amplitude,Full,npequinor-dev:dataset--File.Generic:f804072a-1b25-45f6-b682-747719cab51b,observed
32,3D_TAasgard_JS_Z22_Merge_EQ20231_PH2DG3,RMS,2021-05-17,2022-05-15,Amplitude,Full,npequinor-dev:dataset--File.Generic:f51be5d4-0a0d-44f6-9312-77a79d3e90a4,observed
33,3D_TAasgard_JS_Z22_Merge_EQ20231_PH2DG3,MaxPositive,2022-05-15,2023-05-16,Amplitude,Full,npequinor-dev:dataset--File.Generic:5dbf05d8-467a-455e-9c02-8bf46383de79,observed
34,3D_TAasgard_JS_Z22_Merge_EQ20231_PH2DG3,RMS,2022-05-15,2023-05-16,Amplitude,Full,npequinor-dev:dataset--File.Generic:4255a90c-2a87-4a9e-935b-bf6b6628bd0d,observed
35,3D_TAasgard_JS_Z22_Merge_EQ20231_PH2DG3,MaxNegative,2020-09-30,2022-05-15,Amplitude,Full,npequinor-dev:dataset--File.Generic:acad6208-fb1a-405f-a6d1-46c203a5289c,observed
36,3D_TAasgard_JS_Z22_Merge_EQ20231_PH2DG3,MaxPositive,2021-05-17,2022-05-15,Amplitude,Full,npequinor-dev:dataset--File.Generic:f50b0228-7891-44cf-b451-f9dcb1a33f14,observed
37,3D_TAasgard_JS_Z22_Merge_EQ20231_PH2DG3,MaxPositive,2020-09-30,2023-05-16,Amplitude,Full,npequinor-dev:dataset--File.Generic:6c54bf9e-d65a-4968-aa3d-334936c9facf,observed
38,3D_TAasgard_JS_Z22_Merge_EQ20231_PH2DG3,MaxPositive,2020-09-30,2023-09-20,Amplitude,Masked,npequinor-dev:dataset--File.Generic:466b6625-8b35-4d29-aa4d-f928d87c691f,observed
39,3D_TAasgard_JS_Z22_Merge_EQ20231_PH2DG3,MaxPositive,2020-09-30,2023-09-20,Amplitude,Padded,npequinor-dev:dataset--File.Generic:fa9a0db3-559a-4749-bd97-4319cacba518,observed
40,3D_IUTU_JS_Z22_Merge_EQ20231_PH2DG3,value,2020-09-30,2023-09-20,Timeshift,Masked,npequinor-dev:dataset--File.Generic:9d9aaa4d-9e2d-45a8-ac0c-1ffca469067e,observed
41,3D_TAasgard_JS_Z22_Merge_EQ20231_PH2DG3,RMS,2020-09-30,2023-09-20,Quadrature,Padded,npequinor-dev:dataset--File.Generic:daf4f227-9111-4edf-b6fe-1dcafdf87be1,observed
42,3D_TAasgard_JS_Z22_Merge_EQ20231_PH2DG3,MaxNegative,2021-05-17,2023-05-16,Amplitude,Full,npequinor-dev:dataset--File.Generic:c7c20325-f019-4a97-88e2-10a7aeaa83ef,observed
43,3D_TAasgard_JS_Z22_Merge_EQ20231_PH2DG3,RMS,2020-09-30,2023-09-20,RelativeAcousticImpedance,Masked,npequinor-dev:dataset--File.Generic:2a6d7157-0088-4a07-9c0a-cd8b78ba66cd,observed
